score,base_rgb,base_t,base_u,target_rgb,target_t,target_u,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
7.010026279948901,0.9,0.02,0.08,0.5,0.4,0.1,6.284291261508141,54.3825839370491,3.6922313070591586,13.35931165424394,2.6687171147369906,1.6326648896248281,2.531080778104089,6.832462782465907
7.008454259903818,0.9199999999999999,0.02,0.06,0.4,0.35,0.25,6.16595885783066,55.53131409717773,3.7221275832917957,13.499774667951796,2.775125626458075,1.6358232831453121,2.4183426494619176,6.829291559065305
7.006056125467093,0.9199999999999999,0.02,0.06,0.6,0.25,0.15,6.119731570467537,55.44582150945994,3.718329186056867,13.75409840065756,2.803052958592647,1.6223387531060804,2.400344046183372,6.825735757882099
7.005943406093456,0.9199999999999999,0.02,0.06,0.49999999999999994,0.3,0.2,6.145432185243677,55.40559114891955,3.7168199368465094,13.60150334717315,2.787345306584505,1.6294329555060567,2.4096530291616327,6.826431291252195
7.004612632240017,0.9199999999999999,0.02,0.06,0.65,0.2,0.15,6.097420155266185,55.50489556903871,3.718741159380218,13.851195927019473,2.815912538882631,1.6111985151116925,2.39668336382919,6.823794417823512
7.0014757281477715,0.9199999999999999,0.02,0.06,0.35000000000000003,0.35,0.3,6.168451232674681,55.54188993911731,3.724229419672931,13.46939950519138,2.7683274297685014,1.6330476362961388,2.421026781966987,6.822401848031627
7.001394893554672,0.9,0.02,0.08,0.55,0.35,0.1,6.268013528835627,54.21898369503129,3.6861859317179078,13.42020011831213,2.6752188528739715,1.6234111931966633,2.525078268940941,6.823708315011575
7.000299469958241,0.9199999999999999,0.02,0.06,0.44999999999999996,0.3,0.25,6.150126240871571,55.362801547609884,3.7154511205944014,13.545245242707523,2.780552072628029,1.6270193760032976,2.413538261495545,6.821109710126872
6.998115325174454,0.9199999999999999,0.02,0.06,0.55,0.25,0.2,6.125773387190736,55.34859505120186,3.7137703284805204,13.673977669374443,2.794382156721026,1.619276910896038,2.404673259356102,6.818332326973166
6.99702965159567,0.9,0.02,0.08,0.44999999999999996,0.4,0.15,6.287727208785069,54.34105121518301,3.6876295311951344,13.293661030722253,2.6608143074583963,1.6252396669776972,2.533878486070111,6.819932460506205
6.996345436479448,0.9199999999999999,0.02,0.06,0.6000000000000001,0.2,0.2,6.1045008073618385,55.37980242264569,3.7134715223018033,13.762104796774594,2.8057493052004516,1.6089696874012127,2.401411774224856,6.816130766826521
6.99454846866622,0.9199999999999999,0.02,0.06,0.39999999999999997,0.3,0.3,6.153739854141518,55.346580225742095,3.7163435220718384,13.503765945081357,2.773739482569759,1.6249387327610605,2.4168611179478394,6.815539333278658
6.993534071192316,0.9,0.02,0.08,0.6,0.3,0.1,6.248822143048416,54.13830054826237,3.68239344490899,13.497313715793469,2.682679933545818,1.614064761018866,2.5188310047013953,6.815575699266079
6.992976338830883,0.9199999999999999,0.02,0.06,0.5,0.25,0.25,6.131496264610761,55.27782857494074,3.7114932161790355,13.607529369401343,2.786951942495826,1.6175740153910458,2.409067937611633,6.813593895498506
6.9912870916813095,0.9199999999999999,0.02,0.06,0.55,0.2,0.25,6.111502600304874,55.28082279249532,3.71038199869203,13.686186610916515,2.797297154784602,1.6079541803633426,2.4062933635180213,6.8115446986659665
6.99006321712762,0.9,0.02,0.08,0.5,0.35,0.15,6.272698751202336,54.149765163500156,3.680698870876689,13.344410142780822,2.6672329902166503,1.6168466392099257,2.528840570860841,6.812920200287416
6.9879457232460975,0.9199999999999999,0.02,0.06,0.45,0.25,0.3,6.1363079327124135,55.23390242522388,3.7112709673834434,13.55542176299625,2.779920930598448,1.6159349991074994,2.412974555703665,6.808830485409612
6.987847894999129,0.9,0.02,0.08,0.39999999999999997,0.4,0.2,6.290849985899748,54.32565065743177,3.6859104228608404,13.24291655163706,2.653705582920145,1.62026337591525,2.5370870407197237,6.811055999555119
